Accident year,Region,Ons code,Urban rural,Road class,Light condition,Weather condition,All accidents
2015,North West,E12000002,Urban,B,Daylight,Fog or mist,2
2015,North West,E12000002,Urban,B,Daylight,Other,8
2015,North West,E12000002,Urban,B,Darkness - lights lit,Unknown,1
2015,North West,E12000002,Urban,B,Darkness - lights lit,Fine no high winds,191
2015,North West,E12000002,Urban,B,Darkness - lights lit,Raining no high winds,57
2015,North West,E12000002,Urban,B,Darkness - lights lit,Snowing no high winds,3
2015,North West,E12000002,Urban,B,Darkness - lights lit,Fine + high winds,10
2015,North West,E12000002,Urban,B,Darkness - lights lit,Raining + high winds,10
2015,North West,E12000002,Urban,B,Darkness - lights lit,Snowing + high winds,1
2015,North West,E12000002,Urban,B,Darkness - lights lit,Fog or mist,3
2015,North West,E12000002,Urban,B,Darkness - lights lit,Other,5
2015,North West,E12000002,Urban,B,Darkness - lights unlit,Fine no high winds,1
2015,North West,E12000002,Urban,B,Darkness - lights unlit,Raining no high winds,1
2015,North West,E12000002,Urban,B,Darkness - no lighting,Fine no high winds,2
2015,North West,E12000002,Urban,B,Darkness - no lighting,Raining + high winds,1
2015,North West,E12000002,Urban,B,Darkness - lighting unknown,Unknown,4
2015,North West,E12000002,Urban,B,Darkness - lighting unknown,Fine no high winds,4
2015,North West,E12000002,Urban,B,Darkness - lighting unknown,Raining no high winds,2
2015,North West,E12000002,Urban,B,Darkness - lighting unknown,Other,2
2015,North West,E12000002,Urban,C,Daylight,Unknown,12
2015,North West,E12000002,Urban,C,Daylight,Fine no high winds,385
2015,North West,E12000002,Urban,C,Daylight,Raining no high winds,53
2015,North West,E12000002,Urban,C,Daylight,Snowing no high winds,4
2015,North West,E12000002,Urban,C,Daylight,Fine + high winds,4
2015,North West,E12000002,Urban,C,Daylight,Raining + high winds,8
2015,North West,E12000002,Urban,C,Daylight,Other,7
2015,North West,E12000002,Urban,C,Darkness - lights lit,Unknown,1
2015,North West,E12000002,Urban,C,Darkness - lights lit,Fine no high winds,110
2015,North West,E12000002,Urban,C,Darkness - lights lit,Raining no high winds,38
2015,North West,E12000002,Urban,C,Darkness - lights lit,Fine + high winds,4
2015,North West,E12000002,Urban,C,Darkness - lights lit,Raining + high winds,8
2015,North West,E12000002,Urban,C,Darkness - lights lit,Snowing + high winds,1
2015,North West,E12000002,Urban,C,Darkness - lights lit,Fog or mist,3
